tweet_id,favorites,retweets
672466075045466113,1366,552
672475084225949696,1445,715
672481316919734272,723,128
672482722825261057,1147,617
672488522314567680,1127,447
672523490734551040,648,175
672538107540070400,1039,373
672591271085670400,735,188
672591762242805761,959,342
672594978741354496,1343,621
672604026190569472,1122,405
672609152938721280,1126,399
672614745925664768,1231,598
672622327801233409,1310,505
672640509974827008,981,328
672828477930868736,1266,504
672834301050937345,1325,581
672877615439593473,1043,378
672884426393653248,1564,849
672898206762672129,910,431
672902681409806336,1381,516
672964561327235073,1432,653
672968025906282496,1330,557
672970152493887488,956,365
672975131468300288,1699,934
672980819271634944,1839,1027
672984142909456390,1265,557
672988786805112832,994,300
672995267319328768,967,307
672997845381865473,1989,736
673148804208660480,1707,646
673213039743795200,2277,867
673240798075449344,1434,750
673270968295534593,1074,377
673295268553605120,7601,3245
673317986296586240,881,266
673320132811366400,13641,8143
673342308415348736,1290,600
673343217010679808,981,278
673345638550134785,2546,1313
673350198937153538,752,218
673352124999274496,1670,549
673355879178194945,1508,596
673359818736984064,1472,687
673363615379013632,1038,311
673576835670777856,1400,574
673580926094458881,843,274
673583129559498752,1206,375
673612854080196609,1608,740
673636718965334016,1121,370
673656262056419329,722,248
673662677122719744,1270,369
673680198160809984,1386,480
673686845050527744,1454,450
673688752737402881,1278,505
673689733134946305,1755,667
673697980713705472,3849,2008
673700254269775872,1456,590
673705679337693185,1270,411
673707060090052608,1109,403
673708611235921920,1093,297
673709992831262724,859,283
673711475735838725,1048,304
673715861853720576,3592,2145
673887867907739649,942,257
673906403526995968,3231,1660
673919437611909120,1184,378
673956914389192708,1973,991
674008982932058114,1211,365
674014384960745472,1582,665
674019345211760640,1150,309
674024893172875264,1805,1264
674036086168010753,856,219
674038233588723717,1117,424
674042553264685056,733,132
674045139690631169,1440,655
674051556661161984,1462,498
674053186244734976,3373,1337
674063288070742018,6466,2278
674075285688614912,996,298
674082852460433408,763,176
674255168825880576,1490,573
674262580978937856,1324,468
674265582246694913,1668,876
674269164442398721,915,232
674271431610523648,1590,752
674291837063053312,14965,6078
674318007229923329,1437,529
674372068062928900,858,322
674394782723014656,1524,591
674410619106390016,1221,481
674416750885273600,693,145
674422304705744896,1456,554
674436901579923456,1134,407
674447403907457024,1087,367
674468880899788800,6333,2126
674632714662858753,1525,598
674638615994089473,1713,599
674644256330530816,1046,277
674646392044941312,1458,516
674664755118911488,942,263
674670581682434048,1638,675
674690135443775488,1170,483
674737130913071104,661,96
674739953134403584,1133,407
674743008475090944,1432,573
674752233200820224,1486,483
674754018082705410,1384,466
674764817387900928,797,247
674767892831932416,1861,818
674774481756377088,1142,492
674781762103414784,2037,1248
674788554665512960,827,218
674790488185167872,1126,260
674793399141146624,2549,1127
674800520222154752,3065,889
674805413498527744,873,368
674999807681908736,2286,1140
675003128568291329,1587,489
675006312288268288,1005,236
675015141583413248,2767,1247
675047298674663426,1080,340
675109292475830276,2848,1180
675111688094527488,986,262
675113801096802304,1992,811
675135153782571009,1321,511
675145476954566656,2176,937
675146535592706048,1215,325
675147105808306176,962,249
675149409102012420,3816,1745
675153376133427200,6416,2707
675166823650848770,3685,1672
675334060156301312,2840,1345
675349384339542016,3992,2341
675354435921575936,33510,17883
675362609739206656,1069,237
675372240448454658,1730,529
